Pref,Municip,Ku,JCP,LDP,TotVote,Year,Code,VotePop,Turnout,EldPop,Fstrength,Kaso,Kaso2,IncomePerCapita,Fusion,Kaso.fusion,Kaso2.fusion
北海道,函館市,８区,NA,0.20514450242479326,157333,2009,01202,240678,0.6537074431397968,27.456,0.48,一部過疎,Kaso,2775.9,1,一部過疎,Kaso-Merged
北海道,函館市,８区,0.08300263525034879,0.4401410634010231,129020,2012,01202,240678,0.5360689385818397,27.456,0.44,一部過疎,Kaso,2775.9,1,一部過疎,Kaso-Merged
北海道,函館市,８区,0.09603907137185257,0.40549355783433944,117119,2014,01202,231645,0.5055969263312396,32.307,0.45,一部過疎,Kaso,2775.9,1,一部過疎,Kaso-Merged
北海道,函館市,８区,NA,0.42097377707471406,131488,2017,01202,231645,0.5676271881542878,32.307,0.47,一部過疎,Kaso,2775.9,1,一部過疎,Kaso-Merged
北海道,函館市,８区,NA,0.4540021789284799,124832,2021,01202,216952,0.5753899480069324,35.9029159506047,0.47,一部過疎,Kaso,2775.9,1,一部過疎,Kaso-Merged
北海道,小樽市,４区,NA,0.33513300783411837,81311,2009,01203,115416,0.704503708324669,31.538,0.48,Normal,Normal,2540.9,0,Normal,Normal
北海道,小樽市,４区,0.1640222984562607,0.39520385275102254,60632,2012,01203,115416,0.52533444236501,31.538,0.43,Normal,Normal,2540.9,0,Normal,Normal
北海道,小樽市,４区,0.17385743974138085,0.41256505444146435,56299,2014,01203,107628,0.5230887873044189,37.105,0.42,Normal,Normal,2540.9,0,Normal,Normal
北海道,小樽市,４区,NA,0.43614773564818604,61055,2017,01203,107628,0.5672780317389526,37.105,0.44,Normal,Normal,2540.9,0,Normal,Normal
北海道,小樽市,４区,NA,0.4711700076077918,56521,2021,01203,98134,0.5759573644200787,41.160260539689396,0.44,Normal,Normal,2540.9,0,Normal,Normal
北海道,旭川市,６区,0.06626461934803929,0.3664144112495182,204951,2009,01204,297461,0.6890012472223249,26.488,0.52,Normal,Normal,2740.9,0,Normal,Normal
北海道,旭川市,６区,0.09158744489882628,0.41185139943703863,150632,2012,01204,297461,0.5063924346384904,26.488,0.48,Normal,Normal,2740.9,0,Normal,Normal
北海道,旭川市,６区,0.1219072643605423,0.4384066693722013,145381,2014,01204,293572,0.49521412123772024,31.343,0.48,Normal,Normal,2740.9,0,Normal,Normal
北海道,旭川市,６区,NA,0.45394970663241446,160379,2017,01204,293572,0.5463020996552804,31.343,0.52,Normal,Normal,2740.9,0,Normal,Normal
北海道,旭川市,６区,NA,0.5647056433316854,147661,2021,01204,281051,0.5253886305332485,34.0850786727848,0.53,Normal,Normal,2740.9,0,Normal,Normal
北海道,室蘭市,９区,0.05900886557508924,0.2353650974542895,59669,2009,01205,81774,0.7296818059529924,29.3,0.67,Normal,Normal,2938.7,0,Normal,Normal
北海道,室蘭市,９区,0.12544794304553492,0.5279755363371399,41858,2012,01205,81774,0.5118741898402915,29.3,0.64,Normal,Normal,2938.7,0,Normal,Normal
北海道,室蘭市,９区,0.12095191364082433,0.4302993130520118,40760,2014,01205,77214,0.527883544434947,34.007,0.63,Normal,Normal,2938.7,0,Normal,Normal
北海道,室蘭市,９区,0.1463912794033276,0.4455995410212278,43575,2017,01205,77214,0.5643406636102262,34.007,0.61,Normal,Normal,2938.7,0,Normal,Normal
北海道,室蘭市,９区,NA,0.44778332427222856,40466,2021,01205,69879,0.5790867070221383,37.9033649698015,0.62,Normal,Normal,2938.7,0,Normal,Normal
北海道,釧路市,７区,NA,0.515175544132123,109716,2009,01206,154047,0.712224191318234,25.245,0.48,みなし過疎,Kaso,2745,1,みなし過疎,Kaso-Merged
北海道,釧路市,７区,0.06467655551990523,0.48931312782288916,81034,2012,01206,154047,0.5260342622706057,25.245,0.44,みなし過疎,Kaso,2745,1,みなし過疎,Kaso-Merged
北海道,釧路市,７区,0.09762405802894393,0.4652308343424131,85061,2014,01206,150673,0.5645404286103017,30.254,0.43,みなし過疎,Kaso,2745,1,みなし過疎,Kaso-Merged
北海道,釧路市,７区,0.36368951717686193,0.6363104828231381,76964,2017,01206,150673,0.5108015371035288,30.254,0.45,みなし過疎,Kaso,2745,1,みなし過疎,Kaso-Merged
北海道,釧路市,７区,0.10462940689065298,0.5439419453131265,74826,2021,01206,140884,0.5311177990403453,34.3166533129385,0.45,みなし過疎,Kaso,2745,1,みなし過疎,Kaso-Merged
北海道,帯広市,11区,0.05244772743196309,0.4181705351870202,99909,2009,01207,141227,0.7074355470271265,22.34,0.57,Normal,Normal,2865.8,0,Normal,Normal
北海道,帯広市,11区,0.07992268598615918,0.5323988970588235,73984,2012,01207,141227,0.5238658330205981,22.34,0.54,Normal,Normal,2865.8,0,Normal,Normal
北海道,帯広市,11区,0.11271320555653244,0.5181994021452435,73931,2014,01207,143739,0.5143419670374777,26.361,0.55,Normal,Normal,2865.8,0,Normal,Normal
北海道,帯広市,11区,NA,0.46811153050042614,82130,2017,01207,143739,0.5713828536444528,26.361,0.58,Normal,Normal,2865.8,0,Normal,Normal
北海道,帯広市,１１区,NA,0.4891663202171627,81782,2021,01207,138927,0.5886688692622745,29.586994514296798,0.6,Normal,Normal,2865.8,0,Normal,Normal
北海道,北見市,12区,NA,0.44234409472461195,76601,2009,01208,106849,0.716908908833962,25.358,0.48,一部過疎,Kaso,2699.4,1,一部過疎,Kaso-Merged
北海道,北見市,12区,0.07033150710372366,0.47616306063701364,53845,2012,01208,106849,0.5039354603225112,25.358,0.44,一部過疎,Kaso,2699.4,1,一部過疎,Kaso-Merged
北海道,北見市,12区,0.11826851159311892,0.4856955871353777,53480,2014,01208,104410,0.5122114739967436,30.057,0.45,一部過疎,Kaso,2699.4,1,一部過疎,Kaso-Merged
北海道,北見市,12区,0.15813869924541862,0.49236435501257636,55660,2017,01208,104410,0.5330907001245091,30.057,0.45,一部過疎,Kaso,2699.4,1,一部過疎,Kaso-Merged
北海道,北見市,１２区,0.10538580072913144,0.5310256699364829,53214,2021,01208,97928,0.5433992320888816,33.7369519832985,0.45,一部過疎,Kaso,2699.4,1,一部過疎,Kaso-Merged
北海道,夕張市,10区,NA,0.307843137254902,7650,2009,01209,10004,0.7646941223510596,43.82,0.23,全部過疎,Kaso,2099.7,0,全部過疎,Kaso
北海道,夕張市,10区,0.0824689678626084,NA,5881,2012,01209,10004,0.5878648540583766,43.82,0.18,全部過疎,Kaso,2099.7,0,全部過疎,Kaso
北海道,夕張市,10区,0.12297921478060046,NA,5196,2014,01209,8199,0.6337358214416392,48.581,0.18,全部過疎,Kaso,2099.7,0,全部過疎,Kaso
北海道,夕張市,10区,NA,NA,5138,2017,01209,8199,0.6266617880229296,48.581,0.19,全部過疎,Kaso,2099.7,0,全部過疎,Kaso
北海道,夕張市,１０区,NA,NA,4421,2021,01209,6807,0.6494784780373145,52.784175585964,0.21,全部過疎,Kaso,2099.7,0,全部過疎,Kaso
北海道,岩見沢市,10区,NA,0.33417794830956343,55252,2009,01210,77169,0.7159869895942671,27.769,0.4,一部過疎,Kaso,2714.7,1,一部過疎,Kaso-Merged
北海道,岩見沢市,10区,0.07330464115389089,NA,42985,2012,01210,77169,0.5570241936528917,27.769,0.37,一部過疎,Kaso,2714.7,1,一部過疎,Kaso-Merged
北海道,岩見沢市,10区,0.13458369947275922,NA,36416,2014,01210,73193,0.4975339171778722,32.548,0.37,一部過疎,Kaso,2714.7,1,一部過疎,Kaso-Merged
北海道,岩見沢市,10区,NA,NA,43317,2017,01210,73193,0.5918188897845422,32.548,0.39,一部過疎,Kaso,2714.7,1,一部過疎,Kaso-Merged
北海道,岩見沢市,１０区,NA,NA,39986,2021,01210,67874,0.5891210183575448,36.301949734012304,0.38,一部過疎,Kaso,2714.7,1,一部過疎,Kaso-Merged
北海道,網走市,12区,NA,0.4251504513540622,23928,2009,01211,34895,0.6857142857142857,22.743,0.4,Normal,Normal,2953.6,0,Normal,Normal
北海道,網走市,12区,0.08273043574308278,0.4858894350251284,18107,2012,01211,34895,0.518899555810288,22.743,0.37,Normal,Normal,2953.6,0,Normal,Normal
北海道,網走市,12区,0.13370799672169534,0.5234750029270577,17082,2014,01211,33546,0.5092112323376856,27.359,0.38,Normal,Normal,2953.6,0,Normal,Normal
北海道,網走市,12区,0.15608301929242366,0.5228078069632712,17779,2017,01211,33546,0.5299886722709116,27.359,0.42,Normal,Normal,2953.6,0,Normal,Normal
北海道,網走市,１２区,0.08656421003609267,0.5091978111538014,17178,2021,01211,29054,0.5912438906863082,32.6920834790719,0.44,Normal,Normal,2953.6,0,Normal,Normal
北海道,留萌市,10区,NA,0.403094358843754,15706,2009,01212,21087,0.7448190828472518,28.209,0.35,全部過疎,Kaso,2743,0,全部過疎,Kaso
北海道,留萌市,10区,0.0363681345868382,NA,12126,2012,01212,21087,0.575046237018068,28.209,0.29,全部過疎,Kaso,2743,0,全部過疎,Kaso
北海道,留萌市,10区,0.08305550107864287,NA,10198,2014,01212,19422,0.5250746576047781,33.81,0.3,全部過疎,Kaso,2743,0,全部過疎,Kaso
北海道,留萌市,10区,NA,NA,11737,2017,01212,19422,0.6043146946761404,33.81,0.32,全部過疎,Kaso,2743,0,全部過疎,Kaso
北海道,留萌市,１０区,NA,NA,10994,2021,01212,17540,0.6267958950969214,37.8410615774564,0.32,全部過疎,Kaso,2743,0,全部過疎,Kaso
北海道,苫小牧市,９区,0.0829321772063587,0.24796930283550106,100335,2009,01213,144612,0.6938220894531574,21.068,0.79,Normal,Normal,2841.8,0,Normal,Normal
北海道,苫小牧市,９区,0.16060732292399846,0.5268109800767053,69617,2012,01213,144612,0.4814054158714353,21.068,0.74,Normal,Normal,2841.8,0,Normal,Normal
北海道,苫小牧市,９区,0.17935111751982696,0.43981254506128337,69350,2014,01213,145345,0.4771405965117479,25.744,0.75,Normal,Normal,2841.8,0,Normal,Normal
北海道,苫小牧市,９区,0.17770219198790627,0.44236583522297807,79380,2017,01213,145345,0.5461488183288039,25.744,0.77,Normal,Normal,2841.8,0,Normal,Normal
北海道,苫小牧市,９区,NA,0.46326720396776194,77424,2021,01213,140961,0.5492583054887522,29.4703159684504,0.78,Normal,Normal,2841.8,0,Normal,Normal
北海道,稚内市,12区,NA,0.4913128196801169,24634,2009,01214,33728,0.7303723908918406,24.405,0.4,全部過疎,Kaso,2830,0,全部過疎,Kaso
北海道,稚内市,12区,0.0658682634730539,0.5534252595725979,18203,2012,01214,33728,0.5396999525616698,24.405,0.35,全部過疎,Kaso,2830,0,全部過疎,Kaso
北海道,稚内市,12区,0.11807331628303495,0.5994397759103641,16422,2014,01214,31171,0.5268358410060633,28.876,0.35,全部過疎,Kaso,2830,0,全部過疎,Kaso
北海道,稚内市,12区,0.13454082518372779,0.6012383542619062,17281,2017,01214,31171,0.5543935067851529,28.876,0.37,全部過疎,Kaso,2830,0,全部過疎,Kaso
北海道,稚内市,１２区,0.09089123174644752,0.6309344509200445,15271,2021,01214,27835,0.5486258307885755,33.595188412912705,0.38,全部過疎,Kaso,2830,0,全部過疎,Kaso
北海道,美唄市,10区,NA,0.3691197161558696,16347,2009,01215,22686,0.7205765670457551,32.861,0.27,全部過疎,Kaso,2537.8,0,全部過疎,Kaso
北海道,美唄市,10区,0.07470419921119789,NA,12931,2012,01215,22686,0.5699991183990126,32.861,0.24,全部過疎,Kaso,2537.8,0,全部過疎,Kaso
北海道,美唄市,10区,0.13708668453976766,NA,11190,2014,01215,20417,0.5480726845275995,38.433,0.24,全部過疎,Kaso,2537.8,0,全部過疎,Kaso
北海道,美唄市,10区,NA,NA,12243,2017,01215,20417,0.5996473526962826,38.433,0.26,全部過疎,Kaso,2537.8,0,全部過疎,Kaso
北海道,美唄市,１０区,NA,NA,11181,2021,01215,18146,0.6161688526397002,42.7348336594912,0.27,全部過疎,Kaso,2537.8,0,全部過疎,Kaso
北海道,芦別市,10区,NA,0.30303828591499826,11388,2009,01216,14751,0.772015456579215,38.531,0.28,全部過疎,Kaso,2264,0,全部過疎,Kaso
北海道,芦別市,10区,0.061288632792037716,NA,9545,2012,01216,14751,0.6470747745915532,38.531,0.25,全部過疎,Kaso,2264,0,全部過疎,Kaso
北海道,芦別市,10区,0.1014957264957265,NA,8424,2014,01216,13217,0.6373609745025346,43.643,0.25,全部過疎,Kaso,2264,0,全部過疎,Kaso
北海道,芦別市,10区,NA,NA,8557,2017,01216,13217,0.6474237724143149,43.643,0.26,全部過疎,Kaso,2264,0,全部過疎,Kaso
北海道,芦別市,１０区,NA,NA,7758,2021,01216,11496,0.6748434237995825,47.1270674923571,0.26,全部過疎,Kaso,2264,0,全部過疎,Kaso
北海道,江別市,５区,NA,0.42688279634447335,74955,2009,01217,104231,0.7191238690984448,21.83,0.54,Normal,Normal,2928.2,0,Normal,Normal
北海道,江別市,５区,0.09228475845452497,0.4577317085853946,57691,2012,01217,104231,0.5534917634868705,21.83,0.5,Normal,Normal,2928.2,0,Normal,Normal
北海道,江別市,５区,0.12201057459995097,0.45666865086312547,57118,2014,01217,103366,0.552580152080955,27.011,0.5,Normal,Normal,2928.2,0,Normal,Normal
北海道,江別市,５区,NA,0.4659379606686949,63766,2017,01217,103366,0.6168953040651665,27.011,0.54,Normal,Normal,2928.2,0,Normal,Normal
北海道,江別市,５区,0.06281836353085306,0.48660455219549936,62036,2021,01217,99839,0.6213603902282675,31.097678713847998,0.55,Normal,Normal,2928.2,0,Normal,Normal
北海道,赤平市,10区,NA,0.31077481840193705,8260,2009,01218,11272,0.7327892122072391,38.846,0.23,全部過疎,Kaso,2197.4,0,全部過疎,Kaso
北海道,赤平市,10区,0.08030112923462986,NA,6376,2012,01218,11272,0.5656493967352733,38.846,0.2,全部過疎,Kaso,2197.4,0,全部過疎,Kaso
北海道,赤平市,10区,0.13787085514834205,NA,5730,2014,01218,10044,0.570489844683393,44.701,0.2,全部過疎,Kaso,2197.4,0,全部過疎,Kaso
