Year,Mean,Industry
1964,12.87547604,Cumulative
1965,12.71009997,Cumulative
1966,12.27214519,Cumulative
1967,11.82953434,Cumulative
1968,11.34310272,Cumulative
1969,10.84003982,Cumulative
1970,10.46978294,Cumulative
1971,9.338846021,Cumulative
1972,9.253744044,Cumulative
1973,9.154087288,Cumulative
1974,8.97224356,Cumulative
1975,8.960242326,Cumulative
1976,8.880935472,Cumulative
1977,8.800178767,Cumulative
1978,8.752797153,Cumulative
1979,8.632188517,Cumulative
1980,8.460800116,Cumulative
1981,8.283950291,Cumulative
1982,8.028410395,Cumulative
1983,7.868662091,Cumulative
1984,7.730558004,Cumulative
1985,7.68776289,Cumulative
1986,7.696097183,Cumulative
1987,7.89777973,Cumulative
1988,8.008540506,Cumulative
1989,8.078997987,Cumulative
1990,8.16245635,Cumulative
1991,8.129129613,Cumulative
1992,8.274808328,Cumulative
1993,8.421259008,Cumulative
1994,8.512152644,Cumulative
1995,8.629758071,Cumulative
1996,8.678666667,Cumulative
1997,8.753312022,Cumulative
1998,8.949122876,Cumulative
1999,8.187040977,Cumulative
2000,6.90780446,Cumulative
2001,6.608320501,Cumulative
2002,6.680048426,Cumulative
2003,6.21438711,Cumulative
2004,5.691153935,Cumulative
2005,5.186176704,Cumulative
2006,4.920617326,Cumulative
2007,4.610102944,Cumulative
2008,4.241672827,Cumulative
2009,3.878205865,Cumulative
2010,3.651290538,Cumulative
2011,3.409484724,Cumulative
2012,3.35274107,Cumulative
2013,3.141297935,Cumulative
2014,2.927609428,Cumulative
2015,2.448598131,Cumulative
1964,13.42779503,Electronics
1965,13.166826,Electronics
1966,12.56743227,Electronics
1967,11.93535515,Electronics
1968,11.53385214,Electronics
1969,10.91789895,Electronics
1970,10.64602438,Electronics
1971,9.941734643,Electronics
1972,9.939984902,Electronics
1973,9.975692308,Electronics
1974,9.770609319,Electronics
1975,9.685912002,Electronics
1976,9.56054289,Electronics
1977,9.427567905,Electronics
1978,9.1966598,Electronics
1979,9.059225195,Electronics
1980,8.879930951,Electronics
1981,8.574656544,Electronics
1982,8.241241896,Electronics
1983,8.021170754,Electronics
1984,7.848744509,Electronics
1985,7.843367474,Electronics
1986,7.897802352,Electronics
1987,7.99983302,Electronics
1988,8.100669176,Electronics
1989,8.275920324,Electronics
1990,8.44823251,Electronics
1991,8.326414251,Electronics
1992,8.422692133,Electronics
1993,8.634589639,Electronics
1994,8.670968038,Electronics
1995,8.815427485,Electronics
1996,8.806647214,Electronics
1997,8.916131535,Electronics
1998,8.906241059,Electronics
1999,8.212102248,Electronics
2000,7.285469802,Electronics
2001,6.984443855,Electronics
2002,7.130215586,Electronics
2003,6.511355521,Electronics
2004,5.93188619,Electronics
2005,5.425447885,Electronics
2006,5.176556687,Electronics
2007,4.723024802,Electronics
2008,4.259893348,Electronics
2009,3.918959436,Electronics
2010,3.763612218,Electronics
2011,3.411401341,Electronics
2012,3.369801085,Electronics
2013,3.2125,Electronics
2014,3.018292683,Electronics
2015,2.142857143,Electronics
1964,13.20076482,Chemical
1965,12.67108168,Chemical
1966,12.11974406,Chemical
1967,11.71123363,Chemical
1968,11.26574173,Chemical
1969,10.98787313,Chemical
1970,10.75090689,Chemical
1971,10.11573034,Chemical
1972,9.792179262,Chemical
1973,9.745305164,Chemical
1974,9.482465855,Chemical
1975,9.547974414,Chemical
1976,9.273360786,Chemical
1977,9.169240272,Chemical
1978,9.077561443,Chemical
1979,8.994569877,Chemical
1980,8.882430647,Chemical
1981,8.603862342,Chemical
1982,8.329268293,Chemical
1983,8.171827565,Chemical
1984,7.957505957,Chemical
1985,7.97706422,Chemical
1986,7.729987177,Chemical
1987,8.005813953,Chemical
1988,8.337253483,Chemical
1989,8.311754414,Chemical
1990,8.401703127,Chemical
1991,8.222761024,Chemical
1992,8.443017657,Chemical
1993,8.738745498,Chemical
1994,8.826600985,Chemical
1995,9.148154067,Chemical
1996,9.218676913,Chemical
1997,9.404572396,Chemical
1998,9.587700084,Chemical
1999,8.655512656,Chemical
2000,6.737836108,Chemical
2001,6.444375195,Chemical
2002,6.706150342,Chemical
2003,6.278688525,Chemical
2004,5.537848606,Chemical
2005,4.999236641,Chemical
2006,4.652538817,Chemical
2007,4.415492958,Chemical
2008,4.086614173,Chemical
2009,3.679066375,Chemical
2010,3.506482282,Chemical
2011,3.328735632,Chemical
2012,3.279279279,Chemical
2013,3.067460317,Chemical
2014,2.827586207,Chemical
2015,2,Chemical
1964,12.98305085,Machinery
1965,12.48309179,Machinery
1966,12.17351598,Machinery
1967,11.75757576,Machinery
1968,11.12945265,Machinery
1969,10.69146608,Machinery
1970,10.60782295,Machinery
1971,9.171921475,Machinery
1972,9.08893006,Machinery
1973,9.090869753,Machinery
1974,8.703859381,Machinery
1975,8.404710145,Machinery
1976,8.166452028,Machinery
1977,8.219590958,Machinery
1978,7.993937097,Machinery
1979,7.870356037,Machinery
1980,7.522093814,Machinery
1981,7.789665452,Machinery
1982,7.571265678,Machinery
1983,7.335566723,Machinery
1984,7.606539208,Machinery
1985,7.55930872,Machinery
1986,7.612298823,Machinery
1987,7.675220126,Machinery
1988,8.031346474,Machinery
1989,8.128917677,Machinery
1990,8.24541116,Machinery
1991,8.165137615,Machinery
1992,8.210210756,Machinery
1993,8.305313514,Machinery
1994,8.419019054,Machinery
1995,8.745088328,Machinery
1996,8.813101788,Machinery
1997,9.026508071,Machinery
1998,9.360298031,Machinery
1999,8.712530713,Machinery
2000,7.41989127,Machinery
2001,6.892622352,Machinery
2002,6.817287421,Machinery
2003,6.371386575,Machinery
2004,5.918960245,Machinery
2005,5.515868436,Machinery
2006,5.020910209,Machinery
2007,4.62125163,Machinery
2008,4.170890659,Machinery
2009,3.823404255,Machinery
2010,3.501872659,Machinery
2011,3.187393526,Machinery
2012,3.129310345,Machinery
2013,2.921568627,Machinery
2014,2.714285714,Machinery
2015,1,Machinery
1964,14.14705882,Pharm
1965,13.49101796,Pharm
1966,13.01746725,Pharm
1967,12.52509653,Pharm
1968,12.272,Pharm
1969,11.85993485,Pharm
1970,10.98561151,Pharm
1971,9.388888889,Pharm
1972,9.555555556,Pharm
1973,8.546125461,Pharm
1974,8.148,Pharm
1975,9.032921811,Pharm
1976,8.734246575,Pharm
1977,8.526315789,Pharm
1978,8.066489362,Pharm
1979,7.674922601,Pharm
1980,7.247030879,Pharm
1981,7.275510204,Pharm
1982,6.795511222,Pharm
1983,6.435013263,Pharm
1984,7.16,Pharm
1985,6.819188192,Pharm
1986,7.300531915,Pharm
1987,7.386946387,Pharm
1988,7.475452196,Pharm
1989,8.096638655,Pharm
1990,7.456647399,Pharm
1991,7.866485014,Pharm
1992,8.266483516,Pharm
1993,8.245283019,Pharm
1994,8.138190955,Pharm
1995,7.790996785,Pharm
1996,8.02507837,Pharm
1997,7.703821656,Pharm
1998,8.547540984,Pharm
1999,7.062256809,Pharm
2000,6.067039106,Pharm
2001,5.623036649,Pharm
2002,5.807531381,Pharm
2003,5.75862069,Pharm
2004,5.086206897,Pharm
2005,4.517094017,Pharm
2006,4.313084112,Pharm
2007,4.125628141,Pharm
2008,4.040697674,Pharm
2009,3.76,Pharm
2010,3.37,Pharm
2011,3.423076923,Pharm
2012,3.24137931,Pharm
2013,3.307692308,Pharm
2014,3,Pharm
1964,13.58024691,Motor
1965,12.24299065,Motor
1966,12.15116279,Motor
1967,11.70634921,Motor
1968,11.17339667,Motor
1969,10.93814433,Motor
1970,10.52913199,Motor
1971,9.460540541,Motor
1972,9.580824972,Motor
1973,9.177434031,Motor
1974,9.029135338,Motor
1975,8.545537341,Motor
1976,8.576210826,Motor
1977,8.127087872,Motor
1978,8.57038961,Motor
1979,8.342723005,Motor
1980,8.113547377,Motor
1981,7.9833878,Motor
1982,7.562904718,Motor
1983,7.370705664,Motor
1984,7.270544983,Motor
1985,7.449640986,Motor
1986,7.401766004,Motor
1987,7.667513228,Motor
1988,7.696724546,Motor
1989,7.638939671,Motor
1990,7.779766253,Motor
1991,7.7814778,Motor
1992,8.020480704,Motor
1993,7.982229402,Motor
1994,7.936452046,Motor
1995,8.037432277,Motor
1996,8.164937107,Motor
1997,8.311526022,Motor
1998,8.513820409,Motor
1999,7.710382514,Motor
2000,6.758452052,Motor
2001,6.400783546,Motor
2002,6.437607721,Motor
2003,6.208705922,Motor
2004,5.938267082,Motor
2005,5.257434532,Motor
2006,4.715340443,Motor
2007,4.555939661,Motor
2008,4.157968476,Motor
2009,3.548823017,Motor
2010,3.504415011,Motor
2011,3.427572428,Motor
2012,3.336700337,Motor
2013,3.24137931,Motor
2014,2.9375,Motor
2015,1,Motor
1964,13.87692308,Precision
1965,13.21153846,Precision
1966,13.19090909,Precision
1967,12.57432432,Precision
1968,12.2601626,Precision
1969,11.3236246,Precision
1970,10.5775076,Precision
1971,9.681222707,Precision
1972,9.653439153,Precision
1973,9.677871148,Precision
1974,9.115217391,Precision
1975,8.871359223,Precision
1976,8.023529412,Precision
1977,8.711864407,Precision
1978,8.741626794,Precision
1979,8.722662441,Precision
1980,8.616996508,Precision
1981,7.99469496,Precision
1982,7.608733624,Precision
1983,7.268518519,Precision
1984,7.44988161,Precision
1985,7.606557377,Precision
1986,7.871504157,Precision
1987,8.141370869,Precision
1988,8.480024213,Precision
1989,8.321768327,Precision
1990,8.325194229,Precision
1991,8.329107505,Precision
1992,8.321755909,Precision
1993,8.495067265,Precision
1994,8.45004995,Precision
1995,8.662706612,Precision
1996,8.536285363,Precision
1997,8.619469027,Precision
1998,8.820135052,Precision
1999,8.186295503,Precision
2000,6.924210526,Precision
2001,6.968306011,Precision
2002,6.897454545,Precision
2003,6.610872675,Precision
2004,5.699488491,Precision
2005,5.381872214,Precision
2006,5.292469352,Precision
2007,5.12605042,Precision
2008,4.746548323,Precision
2009,4.307922272,Precision
2010,3.955645161,Precision
2011,3.447293447,Precision
2012,3.319444444,Precision
2013,3.326530612,Precision
2014,3,Precision
2015,3,Precision
