Year,Applied,Granted,Ratio,Industry
1964,486,421,0.866255144,Pharm
1965,473,443,0.936575053,Pharm
1966,507,486,0.958579882,Pharm
1967,503,484,0.96222664,Pharm
1968,425,402,0.945882353,Pharm
1969,415,398,0.959036145,Pharm
1970,502,477,0.950199203,Pharm
1971,457,235,0.514223195,Pharm
1972,508,305,0.600393701,Pharm
1973,506,271,0.535573123,Pharm
1974,434,251,0.578341014,Pharm
1975,448,243,0.542410714,Pharm
1976,584,365,0.625,Pharm
1977,584,342,0.585616438,Pharm
1978,582,376,0.64604811,Pharm
1979,589,323,0.548387097,Pharm
1980,715,421,0.588811189,Pharm
1981,653,392,0.600306279,Pharm
1982,706,401,0.567988669,Pharm
1983,694,377,0.543227666,Pharm
1984,703,375,0.533428165,Pharm
1985,595,271,0.455462185,Pharm
1986,713,376,0.527349229,Pharm
1987,863,429,0.497103129,Pharm
1988,849,387,0.455830389,Pharm
1989,957,476,0.49738767,Pharm
1990,1200,519,0.4325,Pharm
1991,823,367,0.445929526,Pharm
1992,868,364,0.419354839,Pharm
1993,949,371,0.390937829,Pharm
1994,1012,398,0.393280632,Pharm
1995,859,315,0.366705471,Pharm
1996,914,321,0.351203501,Pharm
1997,941,325,0.345377258,Pharm
1998,908,307,0.338105727,Pharm
1999,974,320,0.328542094,Pharm
2000,957,333,0.347962382,Pharm
2001,1079,374,0.346617238,Pharm
2002,1047,422,0.403056351,Pharm
2003,1046,448,0.428298279,Pharm
2004,1102,512,0.4646098,Pharm
2005,1212,550,0.45379538,Pharm
2006,1134,570,0.502645503,Pharm
2007,993,492,0.495468278,Pharm
2008,1010,539,0.533663366,Pharm
2009,987,516,0.522796353,Pharm
2010,937,473,0.504802561,Pharm
2011,846,478,0.56501182,Pharm
2012,859,530,0.616996508,Pharm
2013,794,494,0.622166247,Pharm
2014,866,464,0.535796767,Pharm
2015,810,264,0.325925926,Pharm
2016,842,177,0.210213777,Pharm
2017,787,117,0.14866582,Pharm
2018,385,32,0.083116883,Pharm
2019,181,2,0.011049724,Pharm
1964,945,785,0.830687831,Machinery
1965,1137,994,0.874230431,Machinery
1966,1094,1001,0.914990859,Machinery
1967,1506,1354,0.899070385,Machinery
1968,1887,1736,0.919978802,Machinery
1969,2011,1866,0.927896569,Machinery
1970,2466,2306,0.935117599,Machinery
1971,3386,1746,0.515652688,Machinery
1972,4213,2196,0.521243769,Machinery
1973,4562,2324,0.50942569,Machinery
1974,5665,2619,0.462312445,Machinery
1975,6438,2760,0.428704567,Machinery
1976,6820,3106,0.45542522,Machinery
1977,6227,2787,0.447567047,Machinery
1978,6215,2639,0.42461786,Machinery
1979,6235,2584,0.414434643,Machinery
1980,7474,2942,0.393631255,Machinery
1981,7925,3019,0.380946372,Machinery
1982,9150,3508,0.383387978,Machinery
1983,10459,3582,0.342480161,Machinery
1984,11058,3609,0.326370049,Machinery
1985,11128,3819,0.343188354,Machinery
1986,11320,4163,0.367756184,Machinery
1987,10602,3975,0.374929259,Machinery
1988,10838,4212,0.388632589,Machinery
1989,11288,4787,0.424078668,Machinery
1990,13142,5449,0.414624867,Machinery
1991,14131,5559,0.393390418,Machinery
1992,14389,5504,0.382514421,Machinery
1993,14879,5853,0.393373211,Machinery
1994,14749,5669,0.384365042,Machinery
1995,15693,6057,0.385968266,Machinery
1996,15373,5819,0.378520783,Machinery
1997,15876,5886,0.370748299,Machinery
1998,15356,5638,0.367152904,Machinery
1999,14730,5410,0.367277665,Machinery
2000,17080,5825,0.341042155,Machinery
2001,17537,6142,0.35023094,Machinery
2002,16300,6205,0.380674847,Machinery
2003,12879,5508,0.427672956,Machinery
2004,14181,6085,0.429095268,Machinery
2005,14586,6345,0.43500617,Machinery
2006,15833,7003,0.442304049,Machinery
2007,15001,7308,0.487167522,Machinery
2008,15344,8345,0.543860792,Machinery
2009,12408,7300,0.58833011,Machinery
2010,12949,7868,0.607614488,Machinery
2011,14283,8709,0.609745852,Machinery
2012,15202,9227,0.606959611,Machinery
2013,13687,8805,0.643311171,Machinery
2014,13581,8872,0.653265592,Machinery
2015,12843,6537,0.508993226,Machinery
2016,13152,3016,0.229318735,Machinery
2017,13695,1498,0.109382986,Machinery
2018,3333,565,0.169516952,Machinery
2019,430,26,0.060465116,Machinery
1964,1540,1337,0.868181818,Chemical
1965,2001,1773,0.886056972,Chemical
1966,1991,1811,0.909593169,Chemical
1967,2307,2116,0.917208496,Chemical
1968,2785,2558,0.918491921,Chemical
1969,2815,2628,0.93357016,Chemical
1970,4076,3835,0.940873405,Chemical
