Year,Mean,Industry
1964,4.53325652,Cumulative
1965,4.687973015,Cumulative
1966,4.823927052,Cumulative
1967,4.994978146,Cumulative
1968,5.132276668,Cumulative
1969,5.249232637,Cumulative
1970,5.216530257,Cumulative
1971,6.671962393,Cumulative
1972,6.61450543,Cumulative
1973,6.619271083,Cumulative
1974,6.671965146,Cumulative
1975,6.786602128,Cumulative
1976,6.958049812,Cumulative
1977,7.048100637,Cumulative
1978,7.070579222,Cumulative
1979,7.222588903,Cumulative
1980,7.385409558,Cumulative
1981,7.670760435,Cumulative
1982,7.987593084,Cumulative
1983,8.270417226,Cumulative
1984,8.408786341,Cumulative
1985,8.5465652,Cumulative
1986,8.51617939,Cumulative
1987,8.289355805,Cumulative
1988,8.123895657,Cumulative
1989,7.89445538,Cumulative
1990,7.657658732,Cumulative
1991,7.618190604,Cumulative
1992,7.364852623,Cumulative
1993,7.090500762,Cumulative
1994,6.991199242,Cumulative
1995,6.831144496,Cumulative
1996,6.717246061,Cumulative
1997,6.707003948,Cumulative
1998,6.532665059,Cumulative
1999,6.712104986,Cumulative
2000,6.948937493,Cumulative
2001,6.591347519,Cumulative
2002,5.241384806,Cumulative
2003,5.310160813,Cumulative
2004,5.356801459,Cumulative
2005,5.336556594,Cumulative
2006,5.057256539,Cumulative
2007,4.717917116,Cumulative
2008,4.371550027,Cumulative
2009,4.035249486,Cumulative
2010,3.732372878,Cumulative
2011,3.631945487,Cumulative
2012,3.528321461,Cumulative
2013,3.442058247,Cumulative
2014,3.352886117,Cumulative
2015,2.902478768,Cumulative
2016,1.935975974,Cumulative
2017,1.341555282,Cumulative
2018,0.77485302,Cumulative
1964,4.052725118,Electronics
1965,4.303947368,Electronics
1966,4.630763194,Electronics
1967,5.08933949,Electronics
1968,5.474726336,Electronics
1969,5.733154362,Electronics
1970,5.711483206,Electronics
1971,6.757110167,Electronics
1972,6.849099099,Electronics
1973,6.888547743,Electronics
1974,6.988946884,Electronics
1975,7.302817628,Electronics
1976,7.400390279,Electronics
1977,7.569343635,Electronics
1978,7.553119482,Electronics
1979,7.655914728,Electronics
1980,7.84151643,Electronics
1981,8.230778501,Electronics
1982,8.679355261,Electronics
1983,9.00821379,Electronics
1984,9.091978958,Electronics
1985,9.136740608,Electronics
1986,9.009184199,Electronics
1987,8.737894473,Electronics
1988,8.529756179,Electronics
1989,8.220192497,Electronics
1990,7.98014347,Electronics
1991,8.025340041,Electronics
1992,7.89154572,Electronics
1993,7.751511217,Electronics
1994,7.576158332,Electronics
1995,7.295254522,Electronics
1996,7.061363118,Electronics
1997,6.900142223,Electronics
1998,6.826262874,Electronics
1999,6.822702389,Electronics
2000,6.792363976,Electronics
2001,6.350557172,Electronics
2002,5.078149362,Electronics
2003,5.105056296,Electronics
2004,5.154448419,Electronics
2005,5.084826345,Electronics
2006,4.769156406,Electronics
2007,4.464209291,Electronics
2008,4.126368008,Electronics
2009,3.808699391,Electronics
2010,3.516870318,Electronics
2011,3.492191578,Electronics
2012,3.456169569,Electronics
2013,3.436119591,Electronics
2014,3.418590463,Electronics
2015,3.050101646,Electronics
2016,2.020394081,Electronics
2017,1.362449529,Electronics
2018,0.816380952,Electronics
1964,4.76433121,Machinery
1965,5.11167002,Machinery
1966,4.983016983,Machinery
1967,4.742245199,Machinery
1968,4.894009217,Machinery
1969,4.89335477,Machinery
1970,5.006071119,Machinery
1971,6.329896907,Machinery
1972,6.204918033,Machinery
1973,6.392857143,Machinery
1974,6.541428026,Machinery
1975,6.648188406,Machinery
1976,6.757244044,Machinery
1977,6.715105849,Machinery
1978,6.807881773,Machinery
1979,6.88003096,Machinery
1980,7.105710401,Machinery
1981,7.305067903,Machinery
1982,7.566704675,Machinery
1983,8.067839196,Machinery
1984,8.292601829,Machinery
1985,8.280701754,Machinery
1986,8.163343742,Machinery
1987,8.015597484,Machinery
1988,7.872032289,Machinery
1989,7.533737205,Machinery
1990,7.224077812,Machinery
1991,7.078971038,Machinery
1992,7.081940407,Machinery
1993,7.076029387,Machinery
1994,6.929617216,Machinery
1995,6.777447581,Machinery
1996,6.575872143,Machinery
1997,6.538735984,Machinery
1998,6.227562966,Machinery
1999,6.383548983,Machinery
2000,6.605150215,Machinery
2001,6.424943015,Machinery
2002,5.062852538,Machinery
2003,5.262708787,Machinery
2004,5.300575185,Machinery
2005,5.255791962,Machinery
2006,5.043838355,Machinery
2007,4.724822113,Machinery
2008,4.37639305,Machinery
2009,3.999178082,Machinery
2010,3.717081851,Machinery
2011,3.637271788,Machinery
2012,3.554893248,Machinery
2013,3.450539466,Machinery
2014,3.378719567,Machinery
2015,2.999847025,Machinery
2016,1.88295756,Machinery
2017,1.365821095,Machinery
2018,0.819469027,Machinery
1964,4.46671653,Chemical
1965,4.699943598,Chemical
1966,4.859193816,Chemical
1967,4.93147448,Chemical
1968,4.835809226,Chemical
1969,4.913622527,Chemical
1970,4.762711864,Chemical
1971,6.429350791,Chemical
1972,6.557198782,Chemical
1973,6.599532528,Chemical
1974,6.641091848,Chemical
1975,6.818472469,Chemical
1976,7.00791891,Chemical
1977,7.105929586,Chemical
1978,7.116820938,Chemical
1979,7.169762789,Chemical
1980,7.232232497,Chemical
1981,7.551374103,Chemical
1982,7.823745973,Chemical
1983,8.229710585,Chemical
1984,8.321286736,Chemical
1985,8.469036697,Chemical
1986,8.521707272,Chemical
1987,8.292151163,Chemical
1988,8.023339967,Chemical
1989,7.917448704,Chemical
1990,7.745852298,Chemical
1991,7.877708744,Chemical
1992,7.711513206,Chemical
1993,7.578094524,Chemical
1994,7.720032841,Chemical
1995,7.519488818,Chemical
1996,7.534312907,Chemical
1997,7.535895699,Chemical
1998,7.392760943,Chemical
1999,7.599285825,Chemical
2000,7.904953146,Chemical
2001,7.389009498,Chemical
2002,5.488363502,Chemical
2003,5.60137586,Chemical
2004,5.681416985,Chemical
2005,5.670875148,Chemical
2006,5.40012576,Chemical
2007,5.018154312,Chemical
2008,4.596911661,Chemical
2009,4.233785822,Chemical
2010,3.890028049,Chemical
2011,3.744253922,Chemical
2012,3.590584242,Chemical
2013,3.527247832,Chemical
2014,3.455455736,Chemical
2015,2.990141627,Chemical
2016,1.76657553,Chemical
2017,1.247368421,Chemical
2018,0.774647887,Chemical
1964,3.272727273,Pharm
1965,2.933333333,Pharm
1966,4.4,Pharm
1967,3.777777778,Pharm
1968,4.185185185,Pharm
1969,3.711111111,Pharm
1970,4.034482759,Pharm
1971,5.588235294,Pharm
1972,6.52,Pharm
1973,6.944444444,Pharm
1974,8.64516129,Pharm
1975,7.257142857,Pharm
1976,7.903225806,Pharm
1977,8.058823529,Pharm
1978,7.864864865,Pharm
1979,8.515463918,Pharm
1980,8.576271186,Pharm
1981,8.533333333,Pharm
1982,8.916666667,Pharm
1983,8.585858586,Pharm
1984,8.605042017,Pharm
1985,8.721311475,Pharm
1986,8.697368421,Pharm
1987,8.395522388,Pharm
1988,7.910891089,Pharm
1989,7.661538462,Pharm
1990,7.325581395,Pharm
1991,7.770833333,Pharm
1992,7.419047619,Pharm
1993,7.407407407,Pharm
1994,7.598425197,Pharm
1995,8.25862069,Pharm
1996,8.572580645,Pharm
1997,9.324561404,Pharm
1998,8.675213675,Pharm
1999,9.06779661,Pharm
2000,8.330508475,Pharm
2001,8.48245614,Pharm
2002,6,Pharm
2003,6.134146341,Pharm
2004,6.132183908,Pharm
2005,5.995283019,Pharm
2006,5.429824561,Pharm
2007,5.033175355,Pharm
2008,4.644859813,Pharm
2009,4.268085106,Pharm
2010,4.041666667,Pharm
2011,3.881516588,Pharm
2012,3.606837607,Pharm
2013,3.621359223,Pharm
2014,3.304568528,Pharm
2015,2.689320388,Pharm
2016,1.587301587,Pharm
2017,1.1875,Pharm
2018,0.636363636,Pharm
1964,4.517730496,Motor
1965,5.206896552,Motor
1966,5.228136882,Motor
1967,5.448863636,Motor
1968,5.358834244,Motor
1969,5.215083799,Motor
1970,5.001033058,Motor
1971,6.528361345,Motor
1972,5.941885965,Motor
1973,6.167572464,Motor
1974,6.045966229,Motor
1975,6.095541401,Motor
1976,6.617521368,Motor
1977,6.973856209,Motor
1978,6.771948052,Motor
1979,7.106103286,Motor
1980,7.361393892,Motor
1981,7.607843137,Motor
1982,8.036077706,Motor
1983,8.439647168,Motor
1984,8.447880623,Motor
1985,8.672811954,Motor
1986,8.706201084,Motor
1987,8.618412698,Motor
1988,8.376874507,Motor
1989,8.08464351,Motor
1990,7.861760409,Motor
1991,7.776341948,Motor
1992,7.682972241,Motor
1993,7.461448083,Motor
1994,7.340878605,Motor
1995,7.203579051,Motor
1996,7.01572327,Motor
1997,6.873125551,Motor
1998,6.91110115,Motor
1999,6.775503678,Motor
2000,6.612787033,Motor
2001,6.187671412,Motor
2002,5.069188707,Motor
2003,5.106336198,Motor
2004,5.167969127,Motor
2005,5.143758573,Motor
2006,4.800092039,Motor
2007,4.421110906,Motor
2008,4.179108196,Motor
2009,3.908402325,Motor
2010,3.625548647,Motor
2011,3.53752824,Motor
2012,3.450408998,Motor
2013,3.357007028,Motor
2014,3.287940935,Motor
2015,3.037860333,Motor
2016,2.217614679,Motor
2017,1.651817116,Motor
2018,0.833333333,Motor
1964,4.055555556,Precision
1965,4.45,Precision
1966,4.709219858,Precision
1967,5.117318436,Precision
1968,5.216117216,Precision
1969,5.703703704,Precision
1970,5.823076923,Precision
1971,6.855371901,Precision
1972,7.005221932,Precision
1973,7.078212291,Precision
1974,7.17173913,Precision
1975,7.507281553,Precision
1976,7.811764706,Precision
1977,7.951035782,Precision
1978,8.248803828,Precision
1979,8.179080824,Precision
1980,8.366705471,Precision
1981,8.826702034,Precision
1982,9.152838428,Precision
1983,9.475589226,Precision
